Minimum Tensile Strengths by wire diameter (psix10^3)
Wire Dia (in),MW,HD,OT,SST,17-7,BC,PB
0.008,399,307,315,325,345,180,145
0.009,399,307,315,325,345,180,145
0.01,399,307,315,320,345,180,145
0.011,399,307,315,318,340,180,145
0.012,399,307,315,316,340,180,145
0.013,399,307,315,314,340,180,145
0.014,399,307,315,312,340,180,145
0.015,399,307,315,310,340,180,145
0.016,399,307,315,308,335,180,145
0.017,399,307,315,306,335,180,145
0.018,399,307,315,304,335,180,145
0.019,399,307,315,302,335,180,145
0.02,399,307,315,300,335,180,145
0.021,399,307,315,298,330,180,145
0.022,399,307,315,296,330,180,145
0.023,399,307,315,294,330,180,145
0.024,399,307,315,292,330,180,145
0.025,399,307,315,290,330,180,145
0.026,399,307,315,289,325,180,135
0.027,399,307,315,287,325,180,135
0.028,399,307,315,286,325,180,135
0.029,399,307,315,284,325,180,135
0.03,399,307,315,282,325,180,135
0.031,399,307,315,280,320,180,135
0.032,399,307,315,277,320,180,135
0.033,399,307,315,276,320,180,135
0.034,399,307,315,275,320,180,135
0.035,399,307,315,274,320,180,135
0.036,399,307,315,273,320,180,135
0.037,399,307,315,272,320,180,135
0.038,399,307,315,271,320,180,135
0.039,399,307,315,270,320,180,135
0.04,399,307,315,270,320,180,135
0.041,399,307,315,269,320,170,135
0.042,399,307,315,268,310,170,135
0.043,399,307,315,267,310,170,135
0.044,399,307,315,266,310,170,135
0.045,399,307,315,264,310,170,135
0.046,399,307,315,263,310,170,135
0.047,399,307,315,262,310,170,135
0.048,399,307,315,262,310,170,135
0.049,399,307,315,261,310,170,135
0.051,399,307,315,261,310,170,135
0.052,399,307,315,260,305,170,135
0.055,399,307,315,260,305,170,135
0.056,399,307,315,259,305,170,135
0.057,399,307,315,258,305,170,135
0.058,399,307,315,258,305,170,135
0.059,399,307,315,257,305,170,135
0.06,399,307,315,256,305,170,135
0.061,399,307,315,255,305,170,135
0.062,399,307,315,255,297,170,135
0.063,399,307,315,254,297,170,130
0.065,399,307,315,254,297,170,130
0.066,399,307,315,250,297,170,130
0.071,399,307,315,250,297,170,130
0.072,399,307,315,250,292,170,130
0.075,399,307,315,250,292,170,130
0.076,399,307,315,245,292,170,130
0.08,399,307,315,245,292,170,130
0.092,399,307,315,240,279,170,130
0.105,399,307,315,232,274,170,130
0.12,399,307,315,225,272,170,130
0.125,399,307,315,210,272,170,130
0.131,399,307,315,210,260,170,130
0.148,399,307,315,210,256,170,130
0.162,399,307,315,205,256,170,130
0.177,399,307,315,195,0,170,130
0.192,399,307,315,185,0,170,130
0.207,399,307,315,185,0,170,130
0.225,399,307,315,180,0,170,130
0.25,399,307,315,175,0,170,130
